Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,Degree,Graduation Specialization,Graduation Percentage
1,Amit Sharma,Male,5/14/2002,23,6.69,B.C.A.,Computer Applications,53.83
2,Pooja Verma,Female,8/25/1998,27,7.53,B.E.,Biology,68.35
3,Rahul Kumar,Female,3/26/2002,23,7.7,B.Com. (Hons.),Finance,74.16
4,Neha Agarwal,Male,8/15/1997,26,5.82,B.Tech,Electronics And Communication Engineering,68
5,Rohan Das,Male,8/16/1999,25,6.8,B.A. (Hons.),Economics,64.24
6,Swati Gupta,Female,6/24/1996,28,8.35,B.Com. (Hons.),General,67.56
6,Suresh Joshi,Female,7/18/2000,24,8.05,B.A. (Hons.),Business Economics,78.75
8,Kajal Patel,Male,9/28/1999,23,6.9,B.Tech,Electronics And Communication Engineering,82.7
9,Arun Bakshi,Male,1/21/2000,23,8.13,B.Pharm,Law,81.11
10,Meena Pandey,Male,7/26/2002,28,8.41,B.E.,Hotel Management,70
11,Sharad Oberoi,Male,3/15/2000,27,7.3,B.B.A.,General,73.2
12,Harsh Patel,Male,4/14/2001,24,5.83,BDS,Food Science And Technology,71.7
13,Ashwin Hanjra,Male,10/24/1998,22,7.27,B.Com. (Hons.),Commerce,79.73
14,Aarav Kapoor,Male,8/14/1998,23,6.95,B.B.A.,Marketing And Human Resource,79.7
15,Shailee Chaudhary,Female,3/28/1999,22,8.73,B.B.A.,Marketing And Finance,84.05
16,Nitin Kapoor,Male,10/25/2000,25,8.33,B.Sc. (Hons.),Zoology,75.48
17,Kunal Patnaik,Male,8/21/2000,23,6.79,B.Tech,Civil Engineering,79.1
18,Shreya Dhillon,Female,3/25/2002,22,7.51,B.Com. (Hons.),General,72.3
19,Fatima Suri,Female,5/30/1998,24,7.88,B.A. (Hons.),Economics,87.69
20,Kabir Nigam,Male,3/13/1998,26,7.34,B.B.A.,General,73.2
21,Riya Lal,Female,7/29/2002,23,6.58,B.Com. (Hons.),General,79.6
22,Manish Mohanty,Male,9/30/2000,24,6.82,B.Tech,Commerce,76.9
23,Kunal Nair,Male,2/21/1999,25,7.55,B.A. LLB,Finance,80.6
24,Devendra Kulkarni,Male,3/17/1994,25,7.02,B.Com. (Hons.),Logistics Management,80.2
25,Dinesh Iyer,Male,8/17/1998,21,7.32,B.Sc.,Hotel Management,77.45
26,Riya Bose,Female,2/20/2002,23,6.46,B.A. (Hons.),English,65
27,Raghav Suri,Male,4/27/2001,22,7.54,B.B.A.,Management,75.62
28,Pallavi Pillai,Female,7/27/2002,24,8.31,B.B.A.,General,78.75
29,Shraddha Dwivedi,Female,7/14/1998,22,7.58,B.A. (Hons.),Economics,87.55
30,Jitendra Suri,Male,9/20/1998,22,6.36,B.B.A.,General,77.81
31,Aman Rathi,Male,10/30/1999,23,7.04,B.B.A.,Commerce,78.83
32,Aman Tiwari,Male,8/26/2001,25,6.43,B.Com. (Hons.),Electrical And Electronics Engineering,71.82
33,Keshav Garg,Male,3/29/1999,22,6.65,B.Com.,Mechanical Engineering,53.83
34,Namrata Gill,Female,11/29/1999,28,8.33,B.A. (Hons.),Economics,60.6
35,Ankita Nigam,Female,4/18/2001,23,6.34,B.B.A.,Accounting And Taxation,79.1
36,Vijay Bedi,Male,11/15/2002,23,6.44,B.B.A.,General,81.4
37,Asha Garg,Female,12/28/2000,23,6.97,B.A. (Hons.),Economics,75.85
38,Srishti Guha,Female,8/20/2001,21,6.6,B.Sc. (Hons.),Resource Management,72.81
39,Prachi Shetty,Female,4/21/2002,23,6.93,B.A. (Hons.),Political Science,69.16
40,Yash Goswami,Male,8/21/2000,22,7.94,B.Com. (Hons.),Commerce,81.13
41,Nitin Patel,Male,5/14/2002,22,6.82,B.Com.,Chemical Engineering,76.19
42,Jitendra Sodhi,Male,3/17/1994,30,7.47,B.Tech,Electrical Engineering,68.38
43,Ashwin Garg,Male,3/26/2001,22,7.02,B.E.,Physics,72.27
44,Kabir Rana,Male,3/15/2002,22,5.41,B.B.A.,Marketing,68.81
45,Rahul Sandhu,Male,10/15/1999,26,7.6,B.Tech,Electrical Engineering,79.1
46,Harish Malhotra,Male,4/30/1999,22,7.51,B.Sc.,"Statistics, Mathematics, Information Technology",84.05
47,Harish Aggarwal,Male,5/18/1998,22,7.64,B.Tech,Mechanical And Automation Engineering,75.62
48,Rishi Chahal,Male,8/27/2001,25,6.85,B.B.A.,General,76.2
49,Deepak Yadav,Male,4/14/2001,24,5.83,B.B.A.,General,81.8
50,Yash Pillai,Male,7/23/2000,21,6.52,B.B.A.,Finance,77.75
51,Nandini Chaudhary,Female,9/25/2002,23,8.39,B.Com. (Hons.),General,79.45
52,Rajat Krishna,Male,9/21/1999,24,7.75,B.Com. (Hons.),Accountancy,75.23
53,Suraj Mishra,Male,7/14/1998,29,6.16,B.Tech,Mechanical Engineering,63.9
54,Vivek Sekhon,Male,12/15/1997,25,6.8,B.Tech,Computer Science Engineering,76.9
55,Ashwini Pandey,Female,10/17/2002,23,7.83,B.Com. (Hons.),Commerce,73.68
56,Mukesh Nair,Male,11/15/1997,26,6.33,B.Tech,Civil Engineering,77.9
57,Kunal Sodhi,Male,6/23/2000,22,7.98,B.Com. (Hons.),Commerce,77.71
